,ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
151,18,18,2,2,2,330,16,4,28,"302,585",99,0,2,0,0,0,0,84,182,25,8
298,3,28,10,4,4,179,51,18,38,"265,017",88,0,1,0,1,0,0,89,170,31,1
531,28,13,10,3,4,225,26,9,28,"284,853",91,0,1,1,0,0,2,69,169,24,3
668,25,16,4,3,3,235,16,8,32,"246,288",91,0,3,0,0,0,0,75,178,25,3
231,36,13,6,4,3,118,13,18,50,"377,550",94,0,1,1,1,0,0,98,178,31,80
109,10,22,12,4,4,361,52,3,28,"261,306",97,0,1,1,1,0,4,80,172,27,8
581,3,27,1,4,2,179,51,18,38,"313,532",96,0,1,0,1,0,0,89,170,31,3
735,11,14,7,3,1,289,36,13,33,"264,604",93,0,1,2,1,0,1,90,172,30,8
438,34,28,5,2,3,118,10,10,37,"246,074",99,0,1,0,0,0,0,83,172,28,1
18,6,11,7,5,1,189,29,13,33,"239,554",97,0,1,2,0,0,2,69,167,25,8
715,21,0,6,2,3,268,11,8,33,"275,089",96,1,2,0,0,0,0,79,178,25,0
237,36,1,7,4,1,118,13,18,50,"275,312",98,0,1,1,1,0,0,98,178,31,8
538,25,1,11,6,4,235,16,8,32,"268,519",93,0,3,0,0,0,0,75,178,25,8
257,26,14,8,5,1,300,26,13,43,"265,615",94,0,1,2,1,1,1,77,175,25,2
161,22,13,3,5,2,179,26,9,30,"343,253",95,0,3,0,0,0,0,56,171,19,8
532,3,21,11,3,4,179,51,18,38,"268,519",93,0,1,0,1,0,0,89,170,31,1
530,28,0,10,2,4,225,26,9,28,"284,853",91,1,1,1,0,0,2,69,169,24,0
579,14,18,1,3,2,155,12,14,34,"313,532",96,0,1,2,1,0,0,95,196,25,8
664,34,10,4,4,3,118,10,10,37,"246,288",91,0,1,0,0,0,0,83,172,28,2
333,3,28,11,3,4,179,51,18,38,"284,031",97,0,1,0,1,0,0,89,170,31,1
35,10,23,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,1
331,15,12,11,6,4,291,31,12,40,"284,031",97,0,1,1,1,0,1,73,171,25,4
229,1,13,6,6,3,235,11,14,37,"377,550",94,0,3,1,0,0,1,88,172,29,16
125,34,27,1,5,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
451,5,26,6,3,3,235,20,13,43,"253,957",95,0,1,1,1,0,0,106,167,38,8
738,8,0,0,4,2,231,35,14,39,"271,219",95,0,1,2,1,0,2,100,170,35,0
468,26,15,7,2,1,300,26,13,43,"230,290",92,0,1,2,1,1,1,77,175,25,8
546,34,8,11,3,4,118,10,10,37,"268,519",93,0,1,0,0,0,0,83,172,28,8
645,3,27,3,6,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,3
622,9,12,3,3,2,228,14,16,58,"222,196",99,0,1,2,0,0,1,65,172,22,112
198,11,19,4,3,3,289,36,13,33,"326,452",96,0,1,2,1,0,1,90,172,30,8
327,34,11,11,4,4,118,10,10,37,"284,031",97,0,1,0,0,0,0,83,172,28,3
599,28,25,2,5,2,225,26,9,28,"264,249",97,0,1,1,0,0,2,69,169,24,3
565,22,13,12,3,4,179,26,9,30,"280,549",98,0,3,0,0,0,0,56,171,19,16
512,34,23,10,3,4,118,10,10,37,"284,853",91,0,1,0,0,0,0,83,172,28,2
522,15,23,10,4,4,291,31,12,40,"284,853",91,0,1,1,1,0,1,73,171,25,1
575,17,25,1,4,2,179,22,17,40,"313,532",96,0,2,2,0,1,0,63,170,22,2
701,10,7,5,2,3,361,52,3,28,"237,656",99,0,1,1,1,0,4,80,172,27,8
196,33,28,4,6,3,248,25,14,47,"326,452",96,0,1,2,0,0,1,86,165,32,8
387,24,10,2,6,2,246,25,16,41,"251,818",96,0,1,0,1,0,0,67,170,23,24
189,28,28,4,6,3,225,26,9,28,"326,452",96,0,1,1,0,0,2,69,169,24,2
326,1,18,11,4,4,235,11,14,37,"284,031",97,0,3,1,0,0,1,88,172,29,1
150,28,25,2,5,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,3
713,22,27,6,6,3,179,26,9,30,"275,089",96,0,3,0,0,0,0,56,171,19,2
213,7,0,5,4,3,279,5,14,39,"378,884",92,1,1,2,1,1,0,68,168,24,0
388,3,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
337,7,0,11,3,4,279,5,14,39,"284,031",97,1,1,2,1,1,0,68,168,24,0
259,11,23,8,3,1,289,36,13,33,"265,615",94,0,1,2,1,0,1,90,172,30,4
179,3,13,3,4,3,179,51,18,38,"343,253",95,0,1,0,1,0,0,89,170,31,3
444,28,23,6,5,3,225,26,9,28,"253,957",95,0,1,1,0,0,2,69,169,24,4
300,5,0,10,4,4,235,20,13,43,"265,017",88,1,1,1,1,0,0,106,167,38,0
23,20,28,8,6,1,260,50,11,36,"205,917",92,0,1,4,1,0,0,65,168,23,4
732,10,22,7,4,1,361,52,3,28,"264,604",93,0,1,1,1,0,4,80,172,27,8
141,6,23,2,5,2,189,29,13,33,"302,585",99,0,1,2,0,0,2,69,167,25,8
429,3,28,5,4,3,179,51,18,38,"246,074",99,0,1,0,1,0,0,89,170,31,4
659,22,27,4,6,3,179,26,9,30,"246,288",91,0,3,0,0,0,0,56,171,19,2
480,3,25,8,5,1,179,51,18,38,"249,797",93,0,1,0,1,0,0,89,170,31,4
84,15,23,11,5,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,5
335,20,15,11,6,4,260,50,11,36,"284,031",97,0,1,4,1,0,0,65,168,23,8
167,14,13,3,3,2,155,12,14,34,"343,253",95,0,1,2,1,0,0,95,196,25,8
362,14,23,1,3,2,155,12,14,34,"330,061",100,0,1,2,1,0,0,95,196,25,4
322,23,1,11,2,4,378,49,11,36,"284,031",97,0,1,2,0,1,4,65,174,21,8
562,17,18,12,6,4,179,22,17,40,"280,549",98,0,2,2,0,1,0,63,170,22,2
537,11,24,11,4,4,289,36,13,33,"268,519",93,0,1,2,1,0,1,90,172,30,8
135,28,23,1,3,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,1
529,33,10,10,2,4,248,25,14,47,"284,853",91,0,1,2,0,0,1,86,165,32,8
172,7,14,3,2,2,279,5,14,39,"343,253",95,0,1,2,1,1,0,68,168,24,8
1,36,0,7,3,1,118,13,18,50,"239,554",97,1,1,1,1,0,0,98,178,31,0
123,34,27,1,3,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
452,3,28,6,2,1,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,2
134,34,27,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,0
466,20,26,7,2,1,260,50,11,36,"230,290",92,0,1,4,1,0,0,65,168,23,4
187,24,13,4,4,3,246,25,16,41,"326,452",96,0,1,0,1,0,0,67,170,23,24
268,10,8,8,3,1,361,52,3,28,"265,615",94,0,1,1,1,0,4,80,172,27,8
153,28,23,2,4,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,1
513,32,23,10,5,4,289,48,29,49,"284,853",91,0,1,0,0,0,2,108,172,36,2
467,34,28,7,3,1,118,10,10,37,"230,290",92,0,1,0,0,0,0,83,172,28,8
413,20,28,4,6,3,260,50,11,36,"239,409",98,0,1,4,1,0,0,65,168,23,3
301,11,19,10,5,4,289,36,13,33,"265,017",88,0,1,2,1,0,1,90,172,30,16
154,6,19,2,5,2,189,29,13,33,"302,585",99,0,1,2,0,0,2,69,167,25,8
136,11,22,1,5,2,289,36,13,33,"308,593",95,0,1,2,1,0,1,90,172,30,3
665,1,22,4,6,3,235,11,14,37,"246,288",91,0,3,1,0,0,1,88,172,29,8
122,28,27,1,3,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,2
191,3,13,4,4,3,179,51,18,38,"326,452",96,0,1,0,1,0,0,89,170,31,24
195,15,28,4,6,3,291,31,12,40,"326,452",96,0,1,1,1,0,1,73,171,25,1
64,36,0,10,4,4,118,13,18,50,"253,465",93,1,1,1,1,0,0,98,178,31,0
269,27,6,8,4,1,184,42,7,27,"265,615",94,0,1,0,0,0,0,58,167,21,8
89,14,6,11,6,4,155,12,14,34,"306,345",93,0,1,2,1,0,0,95,196,25,8
205,14,28,5,5,3,155,12,14,34,"378,884",92,0,1,2,1,0,0,95,196,25,2
561,10,14,12,5,4,361,52,3,28,"280,549",98,0,1,1,1,0,4,80,172,27,4
600,22,13,2,5,2,179,26,9,30,"264,249",97,0,3,0,0,0,0,56,171,19,2
496,24,28,9,3,1,246,25,16,41,"261,756",87,0,1,0,1,0,0,67,170,23,1
670,14,28,4,3,3,155,12,14,34,"246,288",91,0,1,2,1,0,0,95,196,25,4
283,5,26,9,4,4,235,20,13,43,"294,217",81,0,1,1,1,0,0,106,167,38,8
316,36,23,10,5,4,118,13,18,50,"265,017",88,0,1,1,1,0,0,98,178,31,1
692,14,10,5,2,3,155,12,14,34,"237,656",99,0,1,2,1,0,0,95,196,25,48
139,3,11,2,4,2,179,51,18,38,"302,585",99,0,1,0,1,0,0,89,170,31,8
494,20,28,8,2,1,260,50,11,36,"249,797",93,0,1,4,1,0,0,65,168,23,3
212,11,13,5,4,3,289,36,13,33,"378,884",92,0,1,2,1,0,1,90,172,30,24
506,10,22,9,3,4,361,52,3,28,"261,756",87,0,1,1,1,0,4,80,172,27,8
82,3,13,11,5,4,179,51,18,38,"306,345",93,0,1,0,1,0,0,89,170,31,8
42,3,23,9,3,1,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,4
45,34,23,9,2,1,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,3
394,3,28,3,2,2,179,51,18,38,"244,387",98,0,1,0,1,0,0,89,170,31,2
252,11,19,8,6,1,289,36,13,33,"265,615",94,0,1,2,1,0,1,90,172,30,8
708,34,26,6,6,3,118,10,10,37,"275,089",96,0,1,0,0,0,0,83,172,28,8
439,1,1,5,2,3,235,11,14,37,"246,074",99,0,3,1,0,0,1,88,172,29,8
554,10,28,11,2,4,361,52,3,28,"268,519",93,0,1,1,1,0,4,80,172,27,2
615,3,27,2,4,2,179,51,18,38,"264,249",97,0,1,0,1,0,0,89,170,31,2
384,30,11,2,4,2,157,27,6,29,"251,818",96,0,1,0,1,1,0,75,185,22,16
243,18,1,7,2,1,330,16,4,28,"275,312",98,0,2,0,0,0,0,84,182,25,8
395,1,22,3,2,2,235,11,14,37,"244,387",98,0,3,1,0,0,1,88,172,29,8
698,25,23,5,5,3,235,16,8,32,"237,656",99,0,3,0,0,0,0,75,178,25,2
553,13,26,11,6,4,369,17,12,31,"268,519",93,0,1,3,1,0,0,70,169,25,8
651,22,13,3,2,3,179,26,9,30,"222,196",99,0,3,0,0,0,0,56,171,19,2
97,15,23,11,5,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,3
635,33,13,3,2,2,248,25,14,47,"222,196",99,0,1,2,0,0,1,86,165,32,2
353,1,14,12,3,2,235,11,14,37,"236,629",93,0,3,1,0,0,1,88,172,29,4
307,15,28,10,3,4,291,31,12,40,"265,017",88,0,1,1,1,0,1,73,171,25,4
280,3,23,9,5,1,179,51,18,38,"294,217",81,0,1,0,1,0,0,89,170,31,1
185,28,23,4,4,3,225,26,9,28,"326,452",96,0,1,1,0,0,2,69,169,24,1
209,27,7,5,4,3,184,42,7,27,"378,884",92,0,1,0,0,0,0,58,167,21,4
302,20,28,10,6,4,260,50,11,36,"265,017",88,0,1,4,1,0,0,65,168,23,3
63,34,23,10,3,4,118,10,10,37,"253,465",93,0,1,0,0,0,0,83,172,28,3
356,3,28,12,2,2,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,3
374,3,23,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
491,24,28,8,3,1,246,25,16,41,"249,797",93,0,1,0,1,0,0,67,170,23,1
495,24,28,9,3,1,246,25,16,41,"261,756",87,0,1,0,1,0,0,67,170,23,1
130,11,18,1,3,2,289,36,13,33,"308,593",95,0,1,2,1,0,1,90,172,30,8
424,34,11,4,4,3,118,10,10,37,"239,409",98,0,1,0,0,0,0,83,172,28,2
682,26,19,5,6,3,300,26,13,43,"237,656",99,0,1,2,1,1,1,77,175,25,64
652,11,19,3,2,3,289,36,13,33,"222,196",99,0,1,2,1,0,1,90,172,30,104
210,14,28,5,2,3,155,12,14,34,"378,884",92,0,1,2,1,0,0,95,196,25,2
408,3,28,3,6,3,179,51,18,38,"244,387",98,0,1,0,1,0,0,89,170,31,8
251,20,0,7,5,1,260,50,11,36,"275,312",98,1,1,4,1,0,0,65,168,23,0
476,5,26,7,2,1,235,20,13,43,"230,290",92,0,1,1,1,0,0,106,167,38,8
7,20,23,7,6,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,4
265,1,23,8,3,1,235,11,14,37,"265,615",94,0,3,1,0,0,1,88,172,29,1
246,10,22,7,3,1,361,52,3,28,"275,312",98,0,1,1,1,0,4,80,172,27,8
375,3,27,2,2,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,2
140,14,28,2,5,2,155,12,14,34,"302,585",99,0,1,2,1,0,0,95,196,25,2
637,28,7,3,2,2,225,26,9,28,"222,196",99,0,1,1,0,0,2,69,169,24,8
332,24,13,11,2,4,246,25,16,41,"284,031",97,0,1,0,1,0,0,67,170,23,8
675,29,19,5,4,3,225,15,15,41,"237,656",99,0,4,2,1,0,2,94,182,28,3
385,3,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
19,33,23,8,4,1,248,25,14,47,"205,917",92,0,1,2,0,0,1,86,165,32,2
21,3,11,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,1
72,3,23,10,4,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,8
118,27,23,1,5,2,184,42,7,27,"308,593",95,0,1,0,0,0,0,58,167,21,2
10,20,1,7,2,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,8
152,18,23,2,3,2,330,16,4,28,"302,585",99,0,2,0,0,0,0,84,182,25,1
62,3,23,10,3,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,3
503,28,23,9,4,1,225,26,9,28,"261,756",87,0,1,1,0,0,2,69,169,24,1
4,11,23,7,5,1,289,36,13,33,"239,554",97,0,1,2,1,0,1,90,172,30,2
233,3,11,6,6,3,179,51,18,38,"377,550",94,0,1,0,1,0,0,89,170,31,2
271,3,23,9,6,1,179,51,18,38,"294,217",81,0,1,0,1,0,0,89,170,31,3
572,17,25,1,5,2,179,22,17,40,"313,532",96,0,2,2,0,1,0,63,170,22,2
463,21,7,7,2,1,268,11,8,33,"230,290",92,0,2,0,0,0,0,79,178,25,8
166,20,26,3,2,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,16
249,11,19,7,2,1,289,36,13,33,"275,312",98,0,1,2,1,0,1,90,172,30,32
171,28,23,3,6,2,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,1
159,15,22,3,4,2,291,31,12,40,"343,253",95,0,1,1,1,0,1,73,171,25,8
120,28,27,1,6,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,1
406,24,0,3,5,3,246,25,16,41,"244,387",98,1,1,0,1,0,0,67,170,23,0
412,3,28,4,4,3,179,51,18,38,"239,409",98,0,1,0,1,0,0,89,170,31,4
681,29,14,5,5,3,225,15,15,41,"237,656",99,0,4,2,1,0,2,94,182,28,8
515,28,23,10,3,4,225,26,9,28,"284,853",91,0,1,1,0,0,2,69,169,24,2
428,22,23,5,4,3,179,26,9,30,"246,074",99,0,3,0,0,0,0,56,171,19,3
441,34,23,6,2,3,118,10,10,37,"253,957",95,0,1,0,0,0,0,83,172,28,3
297,13,22,10,2,4,369,17,12,31,"265,017",88,0,1,3,1,0,0,70,169,25,8
507,32,4,10,5,4,289,48,29,49,"284,853",91,0,1,0,0,0,2,108,172,36,1
352,5,13,12,3,2,235,20,13,43,"236,629",93,0,1,1,1,0,0,106,167,38,8
486,15,28,8,5,1,291,31,12,40,"249,797",93,0,1,1,1,0,1,73,171,25,4
181,28,28,3,6,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,2
305,5,23,10,2,4,235,20,13,43,"265,017",88,0,1,1,1,0,0,106,167,38,2
256,26,13,8,5,1,300,26,13,43,"265,615",94,0,1,2,1,1,1,77,175,25,1
498,14,23,9,3,1,155,12,14,34,"261,756",87,0,1,2,1,0,0,95,196,25,2
719,22,13,6,2,1,179,26,9,30,"275,089",96,0,3,0,0,0,0,56,171,19,3
736,1,11,7,3,1,235,11,14,37,"264,604",93,0,3,1,0,0,1,88,172,29,4
647,16,23,3,4,3,118,15,24,46,"222,196",99,0,1,2,1,1,0,75,175,25,8
348,22,23,12,3,4,179,26,9,30,"236,629",93,0,3,0,0,0,0,56,171,19,1
230,36,23,6,3,3,118,13,18,50,"377,550",94,0,1,1,1,0,0,98,178,31,1
56,28,18,9,4,4,225,26,9,28,"241,476",92,0,1,1,0,0,2,69,169,24,3
541,15,28,11,4,4,291,31,12,40,"268,519",93,0,1,1,1,0,1,73,171,25,2
405,1,0,3,5,3,235,11,14,37,"244,387",98,1,3,1,0,0,1,88,172,29,0
206,14,28,5,2,3,155,12,14,34,"378,884",92,0,1,2,1,0,0,95,196,25,1
435,28,25,5,4,3,225,26,9,28,"246,074",99,0,1,1,0,0,2,69,169,24,3
730,6,22,7,3,1,189,29,13,33,"264,604",93,0,1,2,0,0,2,69,167,25,16
289,11,24,10,2,4,289,36,13,33,"265,017",88,0,1,2,1,0,1,90,172,30,8
516,13,23,10,3,4,369,17,12,31,"284,853",91,0,1,3,1,0,0,70,169,25,8
226,14,23,6,2,3,155,12,14,34,"377,550",94,0,1,2,1,0,0,95,196,25,4
34,3,23,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,2
175,28,11,3,2,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,8
129,22,18,1,3,2,179,26,9,30,"308,593",95,0,3,0,0,0,0,56,171,19,8
