,Atr1;Atr2;Atr3;Atr4;Atr5;Atr6;Atr7;Atr8;Atr9;Atr10;Atr11;Atr12;Atr13;Atr14;Atr15;Atr16;Atr17;Atr18;Atr19;Atr20;Atr21;Atr22;Atr23;Atr24;Atr25;Atr26;Atr27;Atr28;Atr29;Atr30;Atr31;Atr32;Atr33;Atr34;Atr35;Atr36;Atr37;Atr38;Atr39;Atr40;Atr41;Atr42;Atr43;Atr44;Atr45;Atr46;Atr47;Atr48;Atr49;Atr50;Atr51;Atr52;Atr53;Atr54;Class
0,2;2;4;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;2;1;2;0;1;2;1;3;3;2;1;1;2;3;2;1;3;3;3;2;3;2;1;1
1,4;4;4;4;4;0;0;4;4;4;4;3;4;0;4;4;4;4;3;2;1;1;0;2;2;1;2;0;1;1;0;4;2;3;0;2;3;4;2;4;2;2;3;4;2;2;2;3;4;4;4;4;2;2;1
2,2;2;2;2;1;3;2;1;1;2;3;4;2;3;3;3;3;3;3;2;1;0;1;2;2;2;2;2;3;2;3;3;1;1;1;1;2;1;3;3;3;3;2;3;2;3;2;3;1;1;1;2;2;2;1
3,3;2;3;2;3;3;3;3;3;3;4;3;3;4;3;3;3;3;3;4;1;1;1;1;2;1;1;1;1;3;2;3;2;2;1;1;3;3;4;4;2;2;3;2;3;2;2;3;3;3;3;2;2;2;1
4,2;2;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;1;2;1;1;0;0;0;0;2;1;2;1;1;1;1;1;1;0;0;0;0;2;1;0;2;3;0;2;2;1;2;3;2;2;2;1;0;1
5,0;0;1;0;0;2;0;0;0;1;0;2;1;0;2;0;2;1;0;1;0;0;0;0;2;2;0;0;0;0;4;1;1;1;1;1;1;2;0;2;2;1;2;3;0;2;2;1;2;1;1;1;2;0;1
6,3;3;3;2;1;3;4;3;2;2;2;2;2;3;2;3;3;3;3;2;3;3;3;3;2;3;3;2;2;2;1;2;2;1;1;2;3;2;2;3;3;3;3;4;3;3;2;3;2;3;3;2;2;2;1
7,2;1;2;2;2;1;0;3;3;2;4;3;2;3;4;3;2;3;2;1;2;1;1;2;3;3;2;2;2;3;1;1;0;2;2;1;4;4;4;4;4;4;3;2;0;0;1;2;2;2;1;1;1;0;1
8,2;2;1;0;0;4;1;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;3;2;3;2;3;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1
9,1;1;1;1;1;2;0;2;2;2;3;0;0;2;1;0;1;2;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;2;2;1;2;3;2;2;2;0;2;2;2;2;4;3;3;1
10,4;4;4;3;4;0;0;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
11,4;4;4;3;4;0;0;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
12,3;4;3;4;3;0;1;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
13,3;4;3;4;3;0;1;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
14,3;4;3;4;3;0;1;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;1
15,4;4;3;2;4;0;0;4;3;2;4;4;4;4;3;2;4;4;4;4;3;2;4;4;4;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
16,4;4;3;2;4;0;0;4;3;2;4;4;4;4;3;2;4;4;4;4;3;2;4;4;4;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
17,4;4;4;3;4;0;0;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
18,3;3;4;4;3;1;1;3;4;4;3;3;3;3;4;4;3;3;3;3;4;4;3;3;3;3;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
19,4;4;4;3;4;0;0;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
20,4;3;3;3;4;1;0;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
21,4;3;3;3;4;1;0;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
22,3;4;4;4;3;0;1;4;4;4;3;4;3;4;4;4;3;4;3;4;4;4;3;4;3;4;4;4;3;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;3;4;3;4;4;3;4;3;4;1
23,3;3;3;4;3;1;1;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
24,4;2;3;4;4;2;0;2;3;4;4;2;4;2;3;4;4;2;4;2;3;4;4;2;4;2;3;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
25,3;3;3;4;3;1;1;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
26,3;3;4;3;3;1;1;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;1
27,3;3;3;4;3;1;1;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;1
28,3;4;3;2;3;0;1;4;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
29,4;3;3;2;4;1;0;3;3;2;4;3;4;3;3;2;4;3;4;3;3;2;4;3;4;3;3;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
30,3;4;3;2;3;0;1;4;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
31,4;3;4;3;4;1;0;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
32,4;3;3;4;4;1;0;3;3;4;4;3;4;3;3;4;4;3;4;3;3;4;4;3;4;3;3;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
33,3;4;2;3;3;0;1;4;2;3;3;4;3;4;2;3;3;4;3;4;2;3;3;4;3;4;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;1
34,3;4;4;3;3;0;1;4;4;3;3;4;3;4;4;3;3;4;3;4;4;3;3;4;3;4;4;3;3;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
35,3;3;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
36,4;3;3;3;4;1;0;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;4;3;4;3;4;4;3;4;4;4;4;3;4;4;3;4;4;3;3;4;4;3;1
37,3;3;2;3;3;1;1;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;4;3;3;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3;4;4;4;4;3;3;4;4;1
38,3;3;2;3;3;1;1;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;4;3;3;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3;4;4;4;4;3;3;4;4;1
39,4;3;3;3;4;1;0;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
40,3;2;3;4;3;2;1;2;3;4;3;2;3;2;3;4;3;2;3;2;3;4;3;2;3;2;3;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;1
41,4;2;3;2;4;2;0;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
42,3;4;3;3;3;0;1;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;4;3;4;3;1
43,3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
44,4;2;3;2;4;2;0;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
45,3;3;2;3;3;1;1;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
46,3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
47,3;3;2;3;3;1;1;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
48,4;2;3;2;4;2;0;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
49,3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
50,4;2;3;2;4;2;0;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
51,3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;1
52,4;3;2;3;4;1;0;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
53,3;3;3;4;3;1;1;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;4;3;4;3;1
54,4;3;3;2;4;1;0;3;3;2;4;3;4;3;3;2;4;3;4;3;3;2;4;3;4;3;3;2;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;3;4;3;4;4;3;4;3;4;1
55,4;3;2;3;4;1;0;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;4;3;4;3;1
56,3;4;3;4;3;0;1;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1
57,3;4;3;4;3;0;1;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1
58,3;3;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
59,3;2;3;2;3;2;1;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
60,3;2;3;2;3;2;1;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
61,3;2;2;3;3;2;1;2;2;3;3;2;3;2;2;3;3;2;3;2;2;3;3;2;3;2;2;3;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
62,3;2;3;2;3;2;1;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
63,3;2;3;2;3;2;1;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
64,3;3;4;4;3;1;1;3;4;4;3;3;3;3;4;4;3;3;3;3;4;4;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1
65,3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
66,3;3;2;3;3;1;1;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
67,4;2;2;3;4;2;0;2;2;3;4;2;4;2;2;3;4;2;4;2;2;3;4;2;4;2;2;3;4;2;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
68,3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;3;4;3;4;4;3;4;3;4;1
69,4;4;4;3;4;2;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;0;4;0;4;4;0;4;4;0;4;4;0;1;0;2;0;4;0;2;4;4;1;4;0;4;4;4;3;4;4;4;4;1
70,3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;4;3;4;3;1
71,2;2;3;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;1
72,3;3;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1
73,4;3;3;3;3;1;4;0;4;3;3;3;3;4;3;3;3;3;3;3;3;3;2;2;2;2;3;2;2;2;2;4;3;3;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1
74,3;2;3;2;3;2;1;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;4;3;4;3;4;3;4;3;4;3;3;3;4;3;4;3;4;3;3;4;3;4;3;1
75,4;4;3;3;4;0;4;2;4;4;3;4;4;4;4;4;4;4;4;4;0;0;2;4;4;4;4;1;1;0;4;2;0;0;0;0;3;0;4;4;4;4;4;4;4;2;4;4;3;4;4;1;1;0;1
76,3;2;4;3;3;2;3;2;2;3;4;3;2;3;1;3;3;3;3;4;2;1;0;2;2;2;2;2;2;3;3;3;3;3;3;3;4;4;4;4;4;3;0;0;0;0;0;3;3;3;3;3;3;3;1
77,2;2;2;3;2;3;2;1;3;2;1;2;2;2;3;3;3;3;3;2;2;1;1;3;3;3;2;3;2;2;3;3;3;3;3;3;3;3;4;4;4;4;3;4;2;2;3;3;2;1;1;2;2;2;1
78,3;2;4;3;3;2;3;2;2;3;4;3;2;2;1;3;3;3;3;4;2;1;0;2;2;2;2;2;2;3;3;3;3;3;3;3;4;4;4;4;3;0;0;3;0;0;0;3;3;3;3;3;3;3;1
79,4;2;4;2;1;2;3;1;1;3;3;3;2;2;3;2;2;3;3;2;2;2;2;3;4;4;3;3;3;4;4;4;2;2;0;0;4;3;4;4;3;1;1;4;1;2;1;3;3;3;3;1;1;1;1
80,2;0;2;4;2;2;4;3;4;3;2;3;3;0;4;4;3;3;3;2;2;1;2;0;0;0;0;0;2;2;3;3;3;3;3;3;3;3;1;3;2;3;3;4;4;2;3;2;2;3;3;4;2;2;1
81,4;4;3;3;2;0;2;4;4;3;4;3;4;3;4;4;4;3;3;3;2;3;3;3;3;3;1;3;3;2;3;3;3;4;4;4;4;4;4;4;4;2;2;3;2;2;2;2;2;3;3;3;3;4;1
82,4;4;3;4;4;0;0;4;4;4;4;4;4;4;4;3;3;4;4;3;2;2;3;1;2;2;1;3;2;2;3;3;1;2;1;4;4;3;3;3;1;3;3;3;3;1;2;3;2;2;2;2;1;2;1
