,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),Label
26,4,6,1500,14,0
390,11,4,1000,58,0
644,14,2,500,14,1
248,11,2,500,11,0
264,4,5,1250,58,0
303,2,3,750,52,0
358,9,2,500,26,0
605,4,11,2750,95,0
322,11,4,1000,34,0
162,2,1,250,2,0
570,2,6,1500,47,0
235,8,10,2500,63,0
128,4,8,2000,48,1
619,4,1,250,4,0
291,16,12,3000,50,0
299,14,2,500,14,0
249,11,2,500,11,0
438,23,14,3500,93,0
200,4,6,1500,52,0
526,2,5,1250,16,1
441,11,3,750,76,0
456,21,1,250,21,0
144,4,2,500,9,1
16,2,14,3500,48,1
342,11,6,1500,58,0
351,11,2,500,21,0
545,4,2,500,4,1
265,4,4,1000,43,1
568,4,6,1500,35,1
481,23,1,250,23,0
279,11,8,2000,48,0
589,2,1,250,2,0
580,2,1,250,2,0
626,9,9,2250,54,0
239,8,9,2250,58,0
214,4,1,250,4,0
691,14,1,250,14,0
246,11,12,3000,58,0
77,2,2,500,4,0
103,2,5,1250,26,0
578,11,5,1250,18,0
320,15,16,4000,82,0
413,16,4,1000,45,0
253,11,3,750,16,1
720,21,3,750,38,0
232,4,1,250,4,0
395,16,10,2500,89,0
165,2,1,250,2,1
506,3,21,5250,42,1
203,4,7,1750,58,0
367,14,4,1000,38,0
61,2,8,2000,35,1
141,5,14,3500,86,0
127,2,4,1000,26,0
416,16,1,250,16,0
301,14,2,500,14,0
71,2,4,1000,16,0
638,11,4,1000,27,0
244,9,2,500,11,0
650,9,1,250,9,0
94,12,11,2750,23,0
527,2,15,3750,64,0
327,14,16,4000,98,0
730,21,2,500,33,0
182,2,4,1000,35,0
29,4,8,2000,21,0
633,12,15,3750,71,0
681,4,2,500,46,0
679,14,3,750,28,0
488,21,2,500,41,0
118,1,7,1750,57,0
384,14,1,250,14,0
158,2,1,250,2,0
593,9,11,2750,49,1
598,2,3,750,24,0
126,4,8,2000,46,1
712,14,2,500,35,1
599,12,11,2750,39,0
347,11,1,250,11,0
261,11,14,3500,73,1
688,14,3,750,33,0
665,11,1,250,11,0
76,2,4,1000,16,1
130,4,5,1250,28,0
657,14,8,2000,50,0
337,11,7,1750,64,0
454,21,1,250,21,0
57,2,7,1750,28,1
381,14,1,250,14,0
653,4,2,500,30,0
478,23,1,250,23,0
7,1,12,3000,35,0
532,4,8,2000,28,0
186,4,5,1250,34,0
658,11,3,750,26,0
664,11,1,250,11,0
492,23,4,1000,87,0
349,11,1,250,11,0
86,4,2,500,4,0
364,11,6,1500,71,0
631,2,2,500,22,0
718,21,3,750,35,0
535,4,5,1250,16,1
310,11,5,1250,38,0
548,2,12,3000,70,1
355,4,2,500,41,0
574,2,2,500,11,1
446,23,2,500,26,0
268,4,7,1750,82,0
92,4,2,500,4,0
725,21,1,250,21,0
553,2,3,750,14,0
468,22,1,250,22,1
564,4,14,3500,86,0
102,4,9,2250,40,0
673,16,14,3500,83,0
583,2,1,250,2,0
690,14,1,250,14,0
74,2,2,500,4,1
169,2,1,250,2,0
473,14,3,750,83,0
12,2,10,2500,28,1
307,11,3,750,23,0
81,2,4,1000,16,0
278,14,18,4500,78,0
305,11,5,1250,37,1
297,14,2,500,14,0
110,4,5,1250,23,1
212,4,1,250,4,0
420,21,2,500,23,0
411,16,1,250,16,0
499,74,1,250,74,0
410,16,1,250,16,0
646,14,2,500,14,0
234,14,7,1750,26,0
304,14,6,1500,34,0
262,2,2,500,23,0
463,21,1,250,21,0
124,2,4,1000,26,0
346,11,1,250,11,0
496,38,1,250,38,0
208,11,6,1500,27,0
616,4,1,250,4,0
309,16,3,750,19,0
359,21,16,4000,64,0
423,21,2,500,23,0
555,4,4,1000,18,0
722,21,3,750,40,0
683,11,3,750,37,0
155,2,1,250,2,0
701,16,1,250,16,0
491,21,3,750,70,0
160,2,1,250,2,0
290,14,4,1000,23,1
406,16,1,250,16,0
370,4,2,500,51,1
43,2,5,1250,16,0
8,2,9,2250,22,1
27,4,12,3000,34,1
612,4,1,250,4,1
375,11,3,750,40,1
393,11,4,1000,61,0
486,21,6,1500,86,0
148,2,2,500,11,1
348,11,1,250,11,0
676,14,3,750,26,0
705,16,1,250,16,0
434,14,2,500,35,0
89,2,7,1750,35,1
724,21,1,250,21,0
628,2,5,1250,63,0
742,16,3,750,86,0
525,2,4,1000,11,0
51,2,11,2750,46,1
475,26,5,1250,49,1
356,16,6,1500,40,0
419,16,2,500,26,0
514,4,16,4000,38,1
241,11,22,5500,98,0
540,2,6,1500,28,1
185,11,9,2250,33,0
389,14,7,1750,73,0
388,9,3,750,52,0
37,4,6,1500,16,1
680,20,14,3500,69,1
677,23,19,4750,62,0
79,2,2,500,4,0
2,1,16,4000,35,1
360,14,6,1500,51,0
537,2,6,1500,26,1
505,2,41,10250,98,1
515,4,6,1500,14,0
101,2,13,3250,76,1
133,4,6,1500,35,0
728,21,1,250,21,0
715,16,5,1250,71,0
300,14,2,500,14,0
62,2,10,2500,49,0
266,3,2,500,23,0
734,23,1,250,23,0
44,4,20,5000,69,1
462,21,1,250,21,1
398,16,8,2000,76,0
429,16,3,750,40,0
335,16,3,750,21,1
464,21,1,250,21,0
236,11,3,750,15,0
90,4,2,500,4,1
340,14,4,1000,30,0
592,2,3,750,22,0
332,16,6,1500,35,1
448,23,8,2000,64,0
150,2,7,1750,58,1
195,2,5,1250,47,1
747,72,1,250,72,0
509,2,13,3250,32,1
449,16,3,750,50,0
709,21,6,1500,48,0
484,23,1,250,23,0
588,2,1,250,2,0
250,11,2,500,11,0
293,11,5,1250,35,0
428,23,3,750,28,0
489,21,3,750,64,0
284,11,5,1250,33,0
350,11,1,250,11,0
281,14,4,1000,22,1
436,21,2,500,25,0
614,4,1,250,4,0
445,21,3,750,35,0
444,23,12,3000,86,0
727,21,1,250,21,0
215,4,1,250,4,1
252,11,8,2000,41,1
306,4,5,1250,74,0
678,11,7,1750,75,0
172,2,1,250,2,0
338,11,1,250,11,1
240,8,8,2000,52,1
111,4,9,2250,46,0
316,11,2,500,17,0
63,4,5,1250,16,1
276,14,13,3250,57,0
383,14,1,250,14,0
10,4,23,5750,58,0
85,2,6,1500,28,0
64,2,3,750,9,1
237,4,2,500,14,0
19,2,3,750,4,1
620,4,7,1750,62,0
56,4,8,2000,26,1
706,14,2,500,29,0
167,2,1,250,2,0
554,2,4,1000,23,0
123,2,5,1250,33,1
69,1,9,2250,51,0
704,16,1,250,16,0
344,11,1,250,11,0
31,4,10,2500,28,1
490,16,2,500,70,0
93,4,2,500,4,0
469,11,2,500,70,0
549,4,7,1750,32,1
75,2,2,500,4,1
109,2,10,2500,64,0
48,2,2,500,2,0
642,11,6,1500,41,0
113,4,8,2000,40,1
694,14,1,250,14,0
649,14,8,2000,46,0
245,4,5,1250,46,0
138,9,5,1250,19,0
136,2,5,1250,37,0
536,2,7,1750,32,1
296,14,5,1250,28,0
519,4,10,2500,28,1
567,4,9,2250,55,0
430,9,2,500,52,0
221,4,1,250,4,1
149,2,2,500,11,0
500,2,43,10750,86,1
183,4,12,3000,88,0
223,4,1,250,4,0
177,4,5,1250,33,1
595,3,5,1250,38,0
191,4,7,1750,52,0
377,14,1,250,14,0
231,4,1,250,4,1
201,4,7,1750,58,0
139,2,2,500,11,0
667,11,1,250,11,1
286,4,2,500,23,0
632,6,3,750,26,0
362,4,3,750,71,0
210,4,1,250,4,0
623,11,6,1500,28,0
60,2,7,1750,29,0
702,16,1,250,16,0
116,2,7,1750,46,1
282,14,5,1250,26,0
211,4,1,250,4,0
661,16,2,500,16,0
273,4,5,1250,58,0
20,2,3,750,4,1
408,16,1,250,16,0
328,14,4,1000,28,1
459,21,1,250,21,0
476,23,6,1500,70,0
187,4,4,1000,26,0
68,4,7,1750,25,0
412,16,1,250,16,0
662,16,3,750,21,0
91,4,2,500,4,0
256,16,8,2000,28,0
260,4,4,1000,41,0
565,2,9,2250,75,0
321,9,5,1250,51,1
379,14,1,250,14,0
552,4,6,1500,28,1
744,21,2,500,52,0
334,16,2,500,16,0
157,2,1,250,2,0
312,12,9,2250,60,0
601,4,6,1500,46,0
401,23,5,1250,33,0
695,17,7,1750,58,1
472,23,3,750,41,0
22,2,6,1500,16,1
517,4,33,8250,98,1
510,4,4,1000,4,1
205,11,6,1500,26,0
298,14,2,500,14,0
713,16,6,1500,81,0
52,2,6,1500,22,0
106,0,8,2000,59,0
686,13,7,1750,76,0
345,11,1,250,11,0
577,9,9,2250,38,0
586,2,1,250,2,1
582,2,1,250,2,0
382,14,1,250,14,0
634,13,3,750,16,0
35,2,8,2000,28,1
78,2,2,500,4,0
544,1,14,3500,95,0
528,5,24,6000,79,0
477,23,1,250,23,0
745,23,3,750,62,0
407,16,1,250,16,0
425,16,5,1250,60,0
324,16,7,1750,38,0
255,2,3,750,35,0
329,16,7,1750,39,0
6,2,7,1750,14,1
405,14,3,750,41,0
315,4,2,500,29,0
58,2,16,4000,81,0
520,2,11,2750,40,1
452,23,2,500,28,0
192,2,4,1000,35,0
447,23,2,500,26,0
622,4,4,1000,34,1
651,16,5,1250,27,0
479,23,1,250,23,0
386,14,1,250,14,0
366,23,15,3750,57,0
50,2,11,2750,46,0
171,2,1,250,2,0
538,2,8,2000,38,1
336,11,3,750,28,0
87,4,2,500,4,0
729,23,3,750,39,0
493,23,3,750,89,0
372,4,2,500,52,0
513,3,14,3500,35,0
539,2,2,500,4,1
308,16,4,1000,23,0
654,14,3,750,21,0
716,21,2,500,26,0
558,14,5,1250,14,0
369,16,5,1250,40,1
465,21,5,1250,60,0
325,14,2,500,16,0
402,23,8,2000,46,0
96,3,17,4250,86,0
213,4,1,250,4,0
196,9,8,2000,38,1
99,5,7,1750,26,1
194,2,2,500,14,0
18,2,6,1500,15,1
399,21,3,750,26,1
587,2,1,250,2,0
251,2,6,1500,75,0
24,9,9,2250,16,0
435,16,7,1750,93,0
647,2,2,500,33,0
153,2,1,250,2,1
618,4,1,250,4,1
421,16,2,500,27,0
572,2,2,500,11,1
604,4,2,500,13,0
168,2,1,250,2,0
206,2,2,500,16,0
66,2,4,1000,14,1
625,7,5,1250,35,0
226,4,1,250,4,0
387,14,1,250,14,0
559,3,8,2000,50,0
105,6,17,4250,70,0
32,4,10,2500,28,1
374,14,4,1000,40,0
82,2,4,1000,16,0
267,11,8,2000,46,0
1,0,13,3250,28,1
521,2,11,2750,41,1
55,4,19,4750,69,1
643,10,5,1250,38,0
132,2,2,500,10,0
270,16,11,2750,40,0
112,4,5,1250,23,0
596,3,1,250,3,1
569,2,6,1500,45,0
258,4,3,750,28,0
453,21,1,250,21,0
219,4,1,250,4,0
497,38,1,250,38,0
238,2,4,1000,43,0
220,4,1,250,4,0
668,11,1,250,11,0
45,4,9,2250,28,1
243,11,17,4250,79,1
156,2,1,250,2,0
689,14,1,250,14,0
222,4,1,250,4,1
522,4,13,3250,39,1
516,3,5,1250,12,1
550,4,4,1000,16,0
3,2,20,5000,45,1
166,2,1,250,2,0
397,21,3,750,26,0
272,7,2,500,16,0
566,4,6,1500,35,0
353,11,2,500,21,0
129,2,2,500,10,1
659,14,7,1750,45,0
424,14,4,1000,57,0
660,15,5,1250,33,0
30,1,14,3500,58,0
257,11,7,1750,37,0
669,2,3,750,75,1
523,1,10,2500,43,1
175,11,10,2500,35,0
613,4,1,250,4,0
285,11,2,500,14,0
504,0,26,6500,76,1
670,2,3,750,77,0
190,4,7,1750,52,0
225,4,1,250,4,1
11,0,3,750,4,0
482,23,1,250,23,0
302,14,2,500,14,0
487,23,3,750,48,0
88,4,2,500,4,0
455,21,1,250,21,0
159,2,1,250,2,0
95,4,7,1750,28,0
323,14,8,2000,50,1
723,23,2,500,28,0
25,4,14,3500,40,0
170,2,1,250,2,0
392,4,2,500,59,0
343,11,1,250,11,0
147,2,2,500,11,0
120,2,3,750,16,1
341,23,38,9500,98,0
629,7,11,2750,89,0
163,2,1,250,2,1
121,4,5,1250,26,1
674,16,10,2500,62,0
161,2,1,250,2,0
318,11,9,2250,72,1
640,11,8,2000,52,1
735,23,1,250,23,0
530,4,5,1250,16,1
417,16,1,250,16,0
557,4,6,1500,30,0
556,5,6,1500,28,0
627,11,2,500,11,0
184,13,8,2000,26,0
524,4,9,2250,28,0
698,16,7,1750,64,0
330,14,7,1750,47,0
579,2,3,750,21,0
277,4,3,750,34,0
457,21,1,250,21,0
418,16,1,250,16,0
354,16,4,1000,28,0
97,4,9,2250,38,1
152,4,11,2750,78,0
259,12,12,3000,58,0
480,23,1,250,23,0
746,39,1,250,39,0
283,8,2,500,16,0
80,4,6,1500,23,1
474,21,2,500,35,0
39,4,7,1750,22,1
46,2,9,2250,36,0
741,23,7,1750,88,0
470,23,5,1250,58,0
600,2,2,500,14,0
495,35,3,750,64,0
498,40,1,250,40,0
227,4,3,750,24,0
135,2,3,750,19,0
471,23,3,750,40,0
608,4,1,250,4,0
656,4,2,500,31,0
33,4,9,2250,26,1
