No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Huairou,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
24964,2016,1,5,3,9.0,2.0,4.0,300,47.0,-7.9,1022.5,-20.1,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.0
6610,2013,12,1,9,56.0,44.0,55.0,1200,13.923,3.0,1016.5,-11.4,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0
11629,2014,6,28,12,20.0,3.0,15.0,600,112.0,33.7,995.8,13.2,0.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
30994,2016,9,12,9,33.0,2.0,14.0,700,6.0,21.3,1009.3,16.9,0.0,1.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
16867,2015,2,1,18,47.0,15.0,43.0,600,36.0,0.0,1022.0,-17.3,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29.0
28221,2016,5,19,20,147.0,14.0,33.0,900,249.0,24.2,1004.4,10.1,0.0,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0
2660,2013,6,19,19,153.0,3.0,16.0,600,150.0,29.0,993.5,15.5,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0
10930,2014,5,30,9,36.0,26.0,57.0,1200,87.0,32.9,998.6,10.3,0.0,1.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36.0
21306,2015,8,5,17,91.0,5.0,12.0,1100,231.0,29.8,992.5,23.3,0.0,2.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72.0
16678,2015,1,24,21,83.0,2.0,56.0,1700,11.0,-1.0,1016.0,-1.6,0.0,0.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0
19301,2015,5,14,4,18.0,2.0,5.0,200,75.0,16.1,995.3,1.0,0.0,2.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.0
9716,2014,4,9,19,436.0,3.0,17.0,200,114.0,22.0,1006.0,-0.7,0.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0
7936,2014,1,25,15,63.0,26.0,11.0,300,77.0,4.2,1018.4,-20.2,0.0,2.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
30276,2016,8,13,11,32.0,3.0,25.0,500,2.0,26.0,997.6,22.9,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.0
7834,2014,1,21,9,49.0,59.0,54.0,1300,14.0,-3.2,1026.5,-18.4,0.0,1.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
19340,2015,5,15,19,67.0,3.0,24.0,400,104.0,22.5,1003.1,4.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.0
13852,2014,9,29,3,76.0,2.0,18.0,1400,15.0,13.9,1004.6,13.3,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76.0
20014,2015,6,12,21,18.0,7.0,6.0,300,73.0,21.5,989.4,13.7,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
2712,2013,6,21,23,134.0,6.0,50.0,700,30.0,23.8,1000.5,16.1,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0
23468,2015,11,3,19,181.0,6.0,67.0,1700,46.0,10.9,1013.0,4.6,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,172.0
14116,2014,10,10,3,275.0,2.0,10.0,1500,75.0,12.0,1013.0,11.7,0.0,0.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,275.0
4714,2013,9,13,9,38.0,3.0,29.0,700,23.0,19.5,998.7,19.0,0.0,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
30013,2016,8,2,12,17.0,2.0,4.0,500,83.0,32.4,1001.3,21.6,0.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
23320,2015,10,28,15,5.0,2.0,2.0,200,34.0,15.1,1011.6,-11.4,0.0,3.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
24063,2015,11,28,14,280.0,73.0,91.0,4600,25.0,0.0,1019.6,-7.7,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,280.0
32906,2016,12,1,1,30.0,2.0,9.0,400,57.0,3.4,1018.7,-9.9,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0
17746,2015,3,10,9,32.0,31.0,40.0,900,23.0,-1.6,1024.7,-23.5,0.0,1.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
7373,2014,1,2,4,69.0,19.0,29.0,1100,24.0,-5.8,1011.0,-11.9,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.0
22621,2015,9,29,12,33.0,2.0,9.0,900,19.0,15.3,1021.8,13.1,0.8,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33.0
24074,2015,11,29,1,203.0,52.0,89.0,4100,7.0,-1.2,1018.3,-4.4,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,203.0
13350,2014,9,8,5,6.0,2.0,4.0,200,59.0,14.1,1003.5,7.6,0.0,2.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0
23907,2015,11,22,2,97.0,4.0,34.0,1600,2.0,-0.1,1025.5,-0.5,0.0,1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,97.0
14583,2014,10,29,14,96.0,25.0,31.0,700,98.0,15.8,1013.7,1.1,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70.0
32540,2016,11,15,19,134.0,15.0,70.0,1700,5.0,3.6,1013.7,-5.6,0.0,2.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81.0
22579,2015,9,27,18,88.0,2.0,21.0,500,80.0,21.8,1004.8,11.2,0.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27.0
27911,2016,5,6,22,37.0,2.0,5.0,200,75.0,20.6,1005.6,-7.9,0.0,3.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0
17091,2015,2,11,2,67.0,6.0,20.0,800,49.0,1.0,1007.0,-14.7,0.0,3.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38.0
114,2013,3,5,17,158.0,80.0,79.0,1200,88.0,11.5,1004.6,-7.9,0.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
25449,2016,1,25,8,74.0,7.0,64.0,2000,2.0,-13.2,1023.3,-21.2,0.0,1.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.0
9358,2014,3,25,21,299.0,38.0,100.0,1900,101.0,13.3,1001.2,3.6,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250.0
14692,2014,11,3,3,17.0,2.0,30.0,500,8.0,1.4,1009.0,-3.9,0.0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
30658,2016,8,29,9,42.0,5.0,12.0,300,26.0,24.4,1004.9,13.3,0.0,2.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
19796,2015,6,3,19,67.0,2.0,21.0,300,108.0,28.7,1000.8,0.4,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.0
4894,2013,9,20,21,3.0,1.0,17.0,300,40.0,18.9,1006.8,17.0,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.0
27957,2016,5,8,20,113.0,15.0,26.0,800,144.0,21.7,1000.6,8.9,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53.0
329,2013,3,14,16,158.0,57.0,95.0,1500,90.0,7.9,1015.1,-4.6,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152.0
25959,2016,2,15,14,11.0,2.0,3.0,200,50.0,3.4,1013.0,-17.5,0.0,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.0
16271,2015,1,7,22,64.0,20.0,44.0,1400,12.0,-7.0,1023.0,-18.1,0.0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64.0
16018,2014,12,28,9,124.0,37.0,83.0,2100,2.0,-4.1,1028.0,-9.5,0.0,0.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93.0
2067,2013,5,26,2,75.0,8.0,24.0,700,62.0,20.4,999.9,17.4,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63.0
17482,2015,2,27,9,12.0,2.0,20.0,400,53.0,-2.0,1024.0,-16.9,0.0,2.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0
16405,2015,1,13,12,147.0,50.0,64.0,2000,17.0,0.5,1022.9,-10.1,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,147.0
22149,2015,9,9,20,12.0,2.0,10.0,400,25.0,20.3,1012.9,13.5,0.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
30504,2016,8,22,23,49.0,2.0,17.0,700,81.0,24.8,1001.1,22.1,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49.0
9045,2014,3,12,20,69.0,19.0,50.0,1000,48.0,5.1,1015.7,-20.3,0.0,2.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28.0
33296,2016,12,17,7,125.0,5.0,75.0,1700,2.0,-6.1,1012.9,-9.5,0.0,1.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,84.0
30137,2016,8,7,16,14.0,2.0,6.0,500,75.0,32.7,998.3,21.6,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0
30842,2016,9,6,1,10.0,2.0,8.0,300,23.0,17.8,1000.9,16.8,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.0
26503,2016,3,9,6,15.0,4.0,18.0,400,34.0,-6.0,1025.9,-18.7,0.0,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0
24760,2015,12,27,15,36.0,7.0,37.0,1100,34.0,-4.0,1028.2,-13.9,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.0
22278,2015,9,15,5,85.0,2.0,15.0,900,37.0,13.2,1011.8,12.6,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85.0
6494,2013,11,26,13,6.0,4.0,5.0,200,79.25399999999998,5.9,1007.5,-20.5,0.0,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
25075,2016,1,9,18,77.0,15.0,68.0,700,2.0,0.3,1014.6,-16.6,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0
10461,2014,5,10,20,126.0,20.0,64.0,1200,85.0,16.8,1006.7,5.1,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69.0
6900,2013,12,13,11,47.0,28.0,27.0,800,44.0,-0.4,1016.9,-21.3,0.0,2.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0
19318,2015,5,14,21,28.0,2.0,24.0,400,63.0,22.7,1001.5,3.2,0.0,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
9454,2014,3,29,21,93.0,5.0,47.0,700,48.0,13.4,1005.1,4.0,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36.0
31020,2016,9,13,11,102.0,3.0,27.0,1500,36.0,23.2,1010.2,18.5,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91.0
28302,2016,5,23,5,120.0,10.0,29.0,1100,39.0,18.8,1002.9,10.4,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58.0
24398,2015,12,12,13,51.0,17.0,38.0,1000,38.0,4.0,1016.1,-8.4,0.0,1.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0
10169,2014,4,28,16,54.0,3.0,15.0,300,139.0,26.0,1005.8,-1.0,0.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33.0
2461,2013,6,11,12,54.0,7.0,19.0,300,134.0,23.4,998.7,14.7,0.0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53.0
7771,2014,1,18,18,131.0,41.0,115.0,1700,6.0,-0.3,1022.2,-13.6,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,111.0
16832,2015,1,31,7,22.0,2.0,29.0,900,18.0,-12.0,1031.0,-22.9,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0
21154,2015,7,30,9,41.0,3.0,16.0,800,30.0,27.8,996.1,22.5,0.0,1.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39.0
15880,2014,12,22,15,51.0,55.0,41.0,700,41.0,7.3,1020.0,-13.6,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
8065,2014,1,31,0,165.0,38.0,31.0,800,36.0,-0.7,1011.8,-4.4,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,98.0
1290,2013,4,23,17,236.0,14.0,50.0,1200,36.0,13.5,1002.3,9.9,0.0,1.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,227.0
28178,2016,5,18,1,151.0,3.0,59.0,1000,21.0,18.1,1002.3,12.8,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61.0
19925,2015,6,9,4,20.0,4.0,14.0,400,55.0,21.7,992.6,10.2,0.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
16308,2015,1,9,11,41.0,12.0,24.0,500,46.0,3.0,1023.0,-18.4,0.0,1.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
20555,2015,7,5,10,55.0,9.0,13.0,1000,84.0,25.2,1001.7,14.9,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54.0
19544,2015,5,24,7,128.0,6.0,21.0,1000,94.0,19.1,999.4,14.4,0.0,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99.0
17172,2015,2,14,11,181.0,47.0,66.0,2100,32.0,4.0,1004.0,-10.5,0.0,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,163.0
9681,2014,4,8,8,178.0,21.0,57.0,1400,35.0,15.5,1007.0,3.9,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.0
12375,2014,7,29,14,107.0,2.0,12.0,700,217.0,32.8,992.9,17.8,0.0,4.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,107.0
29606,2016,7,16,13,36.0,2.0,8.0,500,39.0,23.9,994.5,17.4,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0
18428,2015,4,7,19,60.0,3.0,37.0,400,74.0,10.8,1017.2,-13.3,0.0,2.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27.0
17213,2015,2,16,4,259.0,24.0,88.0,5000,2.0,-2.0,1009.0,-7.7,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,256.0
15965,2014,12,26,4,57.0,10.0,37.0,1400,12.0,-6.5,1008.0,-12.6,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51.0
6118,2013,11,10,21,103.0,21.0,80.0,1300,2.3562,0.4,1019.2,-11.0,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51.0
29493,2016,7,11,20,73.0,3.0,23.0,600,139.0,32.1,989.1,20.7,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55.0
22573,2015,9,27,12,31.0,3.0,9.0,500,101.0,25.5,1005.8,9.7,0.0,1.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0
19811,2015,6,4,10,188.0,2.0,35.0,600,38.0,19.0,996.8,15.9,0.6,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.0
31471,2016,10,2,6,166.0,4.0,20.0,1100,30.0,13.3,1005.7,12.7,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,166.0
14381,2014,10,21,4,3.0,23.0,49.0,1600,11.0,12.4,1015.0,0.8,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
24700,2015,12,25,3,305.0,6.0,75.0,4500,16.0,-5.1,1014.0,-5.4,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,305.0
21707,2015,8,22,10,14.0,2.0,2.0,400,62.0,28.8,997.7,16.4,0.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
33748,2017,1,5,3,442.0,2.0,99.0,6700,2.0,-1.6,1020.8,-2.2,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,247.0
23486,2015,11,4,13,193.0,37.0,46.0,1400,65.0,14.7,1013.4,4.4,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,193.0
16281,2015,1,8,8,83.0,16.0,56.0,2200,2.0,-10.0,1024.0,-14.6,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69.0
25393,2016,1,23,0,15.0,2.0,11.0,400,51.0,-15.3,1035.3,-28.7,0.0,1.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0
16495,2015,1,17,6,15.0,5.0,35.0,500,33.0,-10.0,1027.0,-17.8,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.0
23804,2015,11,17,19,83.0,11.0,58.0,1100,3.0,6.8,1019.8,0.7,0.0,1.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,83.0
3906,2013,8,10,17,219.0,3.0,12.0,1100,213.0,32.1,995.9,26.6,0.0,1.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.0
13018,2014,8,25,9,11.0,4.0,22.0,500,42.0,27.9,1003.6,9.7,0.0,2.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
28306,2016,5,23,9,108.0,11.0,42.0,1400,49.0,22.2,1002.5,10.7,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65.0
545,2013,3,23,16,114.0,74.0,6.0,1000,47.0,11.4,1003.1,-10.8,0.0,8.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78.0
5684,2013,10,23,19,50.0,3.0,18.0,400,44.0,9.6,1015.4,-6.7,0.0,1.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0
21396,2015,8,9,11,25.0,2.0,6.0,500,94.0,28.8,1002.7,20.3,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0
3288,2013,7,15,23,54.0,3.0,12.0,900,2.0,22.7,987.6,22.7,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39.0
19071,2015,5,4,14,48.0,2.0,9.0,200,97.0,23.3,1003.1,-7.7,0.0,5.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.0
14788,2014,11,7,3,24.0,2.0,21.0,400,18.0,-0.2,1008.0,-6.6,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.0
22950,2015,10,13,5,14.0,2.0,27.0,400,2.0,6.8,1012.3,3.6,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.0
23791,2015,11,17,6,65.0,2.0,30.0,1500,2.0,1.4,1015.3,0.7,0.0,1.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65.0
9683,2014,4,8,10,222.0,43.0,59.0,1300,34.0,20.0,1006.1,4.5,0.0,2.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,159.0
17342,2015,2,21,13,202.0,2.0,43.0,2500,8.0,1.0,1001.0,-0.3,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,202.0
7489,2014,1,7,0,220.0,55.0,81.0,1900,3.0,-3.0,1015.1,-4.9,0.0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,230.0
14955,2014,11,14,2,42.0,2.0,38.0,1000,4.0,-2.1,1014.0,-9.0,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.0
6550,2013,11,28,21,68.0,43.0,49.0,1600,32.3442,-0.4,1015.0,-16.3,0.0,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52.0
32707,2016,11,22,18,18.0,2.0,13.0,300,45.0,-2.0,1028.3,-17.7,0.0,4.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
12352,2014,7,28,15,105.0,18.0,19.0,1000,289.0,35.0,992.9,15.8,0.0,3.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,105.0
26421,2016,3,5,20,134.0,2.0,11.0,400,60.0,5.3,1010.8,-13.2,0.0,1.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.0
34894,2017,2,21,21,74.0,2.0,59.0,300,5.0,-3.3,1017.1,-4.4,0.9,1.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74.0
22412,2015,9,20,19,173.0,3.0,33.0,1400,113.0,21.0,1001.9,18.4,0.0,1.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,142.0
3631,2013,7,30,6,57.0,3.0,16.0,1300,13.0,23.6,990.2,23.6,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,84.0
23218,2015,10,24,9,96.0,2.0,25.0,700,2.0,12.5,1016.4,9.9,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62.0
30295,2016,8,14,6,11.0,2.0,12.0,300,7.0,20.0,997.5,17.2,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.0
30482,2016,8,22,1,115.0,3.0,21.0,1500,94.0,25.2,1003.0,22.3,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99.0
31883,2016,10,19,10,252.0,7.0,45.0,1700,11.0,17.5,1008.2,14.2,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,246.0
5791,2013,10,28,6,198.0,4.0,40.0,1600,14.994000000000002,3.8,1009.8,3.4,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,194.0
28207,2016,5,19,6,80.0,2.0,21.0,800,42.0,16.6,1005.4,13.3,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80.0
33120,2016,12,9,23,35.0,4.0,37.0,1100,13.0,-5.4,1020.9,-11.3,0.0,2.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32.0
22641,2015,9,30,8,13.0,2.0,9.0,600,2.0,13.4,1013.5,12.6,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0
14858,2014,11,10,1,36.0,3.0,20.0,700,38.0,0.6,1007.0,-3.9,0.0,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36.0
22102,2015,9,7,21,71.0,2.0,25.0,900,77.0,20.8,1005.0,18.2,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39.0
19322,2015,5,15,1,33.0,2.0,6.0,200,80.0,19.5,1003.4,3.6,0.0,2.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0
10090,2014,4,25,9,142.0,18.0,46.0,1200,57.0,20.6,1009.0,9.5,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,125.0
32038,2016,10,25,21,173.0,2.0,89.0,1900,4.0,10.2,1007.0,9.0,0.0,1.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,127.0
24198,2015,12,4,5,9.0,2.0,9.0,300,53.0,-4.1,1018.0,-13.5,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
23523,2015,11,6,2,15.0,2.0,8.0,300,32.0,4.4,1022.5,-3.6,0.0,3.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.0
29194,2016,6,29,9,102.0,2.0,10.0,800,44.0,23.1,996.3,19.3,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,102.0
2408,2013,6,9,7,79.0,4.0,34.0,1500,2.0,19.6,1000.7,19.6,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76.0
30439,2016,8,20,6,26.0,2.0,18.0,500,7.0,23.2,1000.9,21.1,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
